Time,Longitude,Latitude,Altitude
2024-06-01 00:19:00,-149.35895448498914,-90.0,-6353936.081938225
2024-06-01 00:20:00,-146.33151790648998,-90.0,-6353636.667603533
2024-06-01 00:21:00,-143.14534118537887,-90.0,-6353351.941640712
2024-06-01 00:22:00,-139.77651532453643,-90.0,-6353083.241077577
2024-06-01 00:23:00,-136.19977257749727,-90.0,-6352831.826539841
2024-06-01 00:24:00,-132.38901481073233,-90.0,-6352598.876477177
2024-06-01 00:25:00,-128.31827764065181,-90.0,-6352385.48180592
2024-06-01 00:26:00,-123.96328771129683,-90.0,-6352192.640987333
2024-06-01 00:27:00,-119.30376297667068,-90.0,-6352021.255556338
2024-06-01 00:28:00,-114.32653446278928,-90.0,-6351872.126113077
2024-06-01 00:29:00,-109.02939002720981,-90.0,-6351745.948787369
2024-06-01 00:30:00,-103.42522706850404,-90.0,-6351643.312183798
2024-06-01 00:31:00,-97.54568349368697,-90.0,-6351564.694813275
2024-06-01 00:32:00,-91.44304355161104,-90.0,-6351510.463015176
2024-06-01 00:33:00,-85.18916105060285,-90.0,-6351480.869373399
2024-06-01 00:34:00,-78.87067691884117,-90.0,-6351476.051628251
2024-06-01 00:35:00,-72.58093472583865,-90.0,-6351496.032085287
2024-06-01 00:36:00,-66.41026750582503,-90.0,-6351540.7175218845
2024-06-01 00:37:00,-60.43702600357099,-90.0,-6351609.899591509
2024-06-01 00:38:00,-54.72139607791298,-90.0,-6351703.255725138
2024-06-01 00:39:00,-49.30292167641458,-90.0,-6351820.350528888
2024-06-01 00:40:00,-44.20139070277112,-90.0,-6351960.63767575
2024-06-01 00:41:00,-39.419954201999644,-90.0,-6352123.462289147
2024-06-01 00:42:00,-34.949199489418355,-90.0,-6352308.063813988
2024-06-01 00:43:00,-30.771184069496417,-90.0,-6352513.579369998
2024-06-01 00:44:00,-26.862862859313946,-90.0,-6352739.047580784
2024-06-01 00:45:00,-23.198704182895927,-90.0,-6352983.412868658
2024-06-01 00:46:00,-19.752519009822826,-90.0,-6353245.53020453
2024-06-01 00:47:00,-16.498635537841096,-90.0,-6353524.17029829
2024-06-01 00:48:00,-13.412578677733782,-90.0,-6353818.025212918
2024-06-01 00:49:00,-10.471400086253754,-90.0,-6354125.714381687
2024-06-01 00:50:00,-7.6537750307058365,-90.0,-6354445.791005556
2024-06-01 00:51:00,-4.939951587534011,-90.0,-6354776.748803726
2024-06-01 00:52:00,-2.3116113986253652,-90.0,-6355117.029086897
2024-06-01 00:53:00,0.24831900722091038,-90.0,-6355465.028120506
2024-06-01 00:54:00,2.755881889290492,-90.0,-6355819.104741064
2024-06-01 00:55:00,5.226312592700197,-90.0,-6356177.588186317
2024-06-01 00:56:00,7.674266800227682,-90.0,-6356538.786098305
2024-06-01 00:57:00,10.114047359054863,90.0,-6356603.635836081
2024-06-01 00:58:00,12.55982994435606,90.0,-6356242.131708832
2024-06-01 00:59:00,15.025888223562738,90.0,-6355883.0380816655
2024-06-01 01:00:00,17.526819689086235,90.0,-6355528.051782652
2024-06-01 01:01:00,20.077772966712182,90.0,-6355178.8502122145
2024-06-01 01:02:00,22.69467617384515,90.0,-6354837.0832615765
2024-06-01 01:03:00,25.394463492421643,90.0,-6354504.36537921
2024-06-01 01:04:00,28.19529310886487,90.0,-6354182.267829827
2024-06-01 01:05:00,31.11674339762306,90.0,-6353872.31118631
2024-06-01 01:06:00,34.179964694998276,90.0,-6353575.958094012
2024-06-01 01:07:00,37.407750107191525,90.0,-6353294.606343601
2024-06-01 01:08:00,40.82446932356081,90.0,-6353029.582285563
2024-06-01 01:09:00,44.45578371473502,90.0,-6352782.13461643
2024-06-01 01:10:00,48.32803017418119,90.0,-6352553.428563075
